Code géographique;Libellé géographique;Département;Collectivité territoriale ayant les compétences départementales;Région;Intercommunalité - Métropole;Établissement public territorial;Arrondissement;Canton-ou-ville;Zone d'emploi 2020;Unité urbaine 2020;Aire d'attraction des villes 2020;Bassin de vie 2022
CODGEO;LIBGEO;DEP;CTCD;REG;EPCI;EPT;ARR;CANOV;ZE2020;UU2020;AAV2020;BV2022
01001;L'Abergement-Clémenciat;01;01D;84;200069193;ZZZZZZZZZ;012;0108;8405;01000;524;01093
01002;L'Abergement-de-Varey;01;01D;84;240100883;ZZZZZZZZZ;011;0101;8405;01000;000;01004
01004;Ambérieu-en-Bugey;01;01D;84;240100883;ZZZZZZZZZ;011;0101;8405;01303;243;01004
01005;Ambérieux-en-Dombes;01;01D;84;200042497;ZZZZZZZZZ;012;0122;8434;01000;002;01333
01006;Ambléon;01;01D;84;200040350;ZZZZZZZZZ;011;0104;8404;01000;286;01034
01007;Ambronay;01;01D;84;240100883;ZZZZZZZZZ;011;0101;8405;01000;243;01004
01008;Ambutrix;01;01D;84;240100883;ZZZZZZZZZ;011;0101;8405;01303;243;01004
01009;Andert-et-Condon;01;01D;84;200040350;ZZZZZZZZZ;011;0104;8404;01000;286;01034
01010;Anglefort;01;01D;84;200070852;ZZZZZZZZZ;011;0110;8416;01000;000;74269
01011;Apremont;01;01D;84;200042935;ZZZZZZZZZ;014;0114;8425;01000;168;01283
01012;Aranc;01;01D;84;200042935;ZZZZZZZZZ;011;0110;8404;01000;572;01185
01013;Arandas;01;01D;84;240100883;ZZZZZZZZZ;011;0101;8405;01000;243;01004
01014;Arbent;01;01D;84;200042935;ZZZZZZZZZ;014;0115;8425;01402;168;01283
01015;Arboys en Bugey;01;01D;84;200040350;ZZZZZZZZZ;011;0104;8404;01000;286;01034
01016;Arbigny;01;01D;84;200071371;ZZZZZZZZZ;012;0117;0059;01000;084;01305
01017;Argis;01;01D;84;240100883;ZZZZZZZZZ;011;0101;8405;01000;000;01185
01019;Armix;01;01D;84;200040350;ZZZZZZZZZ;011;0110;8404;01000;000;01034
