code_insee,code_ze,lib_ze,taux_chomage
01001,8405,Bourg en Bresse,5.9
01002,8405,Bourg en Bresse,5.9
01004,8405,Bourg en Bresse,5.9
01005,8434,Villefranche-sur-Saône,5.8
01006,8404,Belley,5.6
01007,8405,Bourg en Bresse,5.9
01008,8405,Bourg en Bresse,5.9
01009,8404,Belley,5.6
01010,8416,Le Genevois Français,6.4
01011,8425,Oyonnax,8.0
01012,8404,Belley,5.6
01013,8405,Bourg en Bresse,5.9
01014,8425,Oyonnax,8.0
01015,8404,Belley,5.6
01016,0059,Mâcon,6.1
01017,8405,Bourg en Bresse,5.9
01019,8404,Belley,5.6
01021,8434,Villefranche-sur-Saône,5.8
01022,8404,Belley,5.6
01023,0059,Mâcon,6.1
01024,8405,Bourg en Bresse,5.9
01025,0059,Mâcon,6.1
01026,0059,Mâcon,6.1
01027,8421,Lyon,7.2
01028,8434,Villefranche-sur-Saône,5.8
01029,8405,Bourg en Bresse,5.9
01030,8434,Villefranche-sur-Saône,5.8
01031,8425,Oyonnax,8.0
01032,8421,Lyon,7.2
01033,8416,Le Genevois Français,6.4
01034,8404,Belley,5.6
01035,8425,Oyonnax,8.0
01036,8404,Belley,5.6
01037,8404,Belley,5.6
01038,8405,Bourg en Bresse,5.9
01040,8405,Bourg en Bresse,5.9
01041,8405,Bourg en Bresse,5.9
01042,0059,Mâcon,6.1
01043,8421,Lyon,7.2
01044,8416,Le Genevois Français,6.4
01045,8405,Bourg en Bresse,5.9
01046,0059,Mâcon,6.1
01047,8405,Bourg en Bresse,5.9
01049,8421,Lyon,7.2
01050,0059,Mâcon,6.1
01051,8425,Oyonnax,8.0
01052,8405,Bourg en Bresse,5.9
01053,8405,Bourg en Bresse,5.9
01054,8405,Bourg en Bresse,5.9
01056,8405,Bourg en Bresse,5.9
01057,0059,Mâcon,6.1
01058,8404,Belley,5.6
01060,8404,Belley,5.6
01061,8404,Belley,5.6
01062,8421,Lyon,7.2
01063,8425,Oyonnax,8.0
01064,8405,Bourg en Bresse,5.9
01065,8405,Bourg en Bresse,5.9
01066,8404,Belley,5.6
01067,8425,Oyonnax,8.0
01068,8405,Bourg en Bresse,5.9
01069,8405,Bourg en Bresse,5.9
01071,8416,Le Genevois Français,6.4
01072,8405,Bourg en Bresse,5.9
01073,8404,Belley,5.6
01074,8405,Bourg en Bresse,5.9
01075,8434,Villefranche-sur-Saône,5.8
01076,8404,Belley,5.6
01077,8405,Bourg en Bresse,5.9
01078,8416,Le Genevois Français,6.4
01079,8404,Belley,5.6
01080,8404,Belley,5.6
01081,8416,Le Genevois Français,6.4
01082,8416,Le Genevois Français,6.4
01083,8434,Villefranche-sur-Saône,5.8
01084,8405,Bourg en Bresse,5.9
01085,8405,Bourg en Bresse,5.9
01087,8425,Oyonnax,8.0
01088,8405,Bourg en Bresse,5.9
01089,8405,Bourg en Bresse,5.9
01090,8405,Bourg en Bresse,5.9
01092,8405,Bourg en Bresse,5.9
01093,8405,Bourg en Bresse,5.9
01094,0059,Mâcon,6.1
01095,8405,Bourg en Bresse,5.9
01096,8405,Bourg en Bresse,5.9
01098,8404,Belley,5.6
01099,8405,Bourg en Bresse,5.9
01100,8404,Belley,5.6
01101,8425,Oyonnax,8.0
01102,0059,Mâcon,6.1
01103,8416,Le Genevois Français,6.4
01104,8416,Le Genevois Français,6.4
01105,8434,Villefranche-sur-Saône,5.8
01106,8405,Bourg en Bresse,5.9
01107,8405,Bourg en Bresse,5.9
