code_insee,annee,prix_m2_appart,prix_m2_maison,nb_ventes_appart,nb_ventes_maison,nb_ventes_total
01001,2024,3258,3258,0.0,4.0,4
01002,2024,1942,1942,0.0,2.0,2
01004,2024,2323,2323,63.0,70.0,133
01005,2024,2711,2711,31.0,16.0,47
01007,2024,2322,2322,0.0,24.0,24
01008,2024,2431,2431,0.0,10.0,10
01009,2024,2084,2084,1.0,9.0,10
01010,2024,2437,2437,0.0,10.0,10
01011,2024,1384,1384,0.0,1.0,1
01012,2024,1029,1029,0.0,2.0,2
01013,2024,1912,1912,0.0,3.0,3
01014,2024,2471,2471,8.0,9.0,17
01015,2024,1706,1706,0.0,5.0,5
01016,2024,2141,2141,0.0,3.0,3
01017,2024,1154,1154,1.0,12.0,13
01019,2024,1705,1705,0.0,1.0,1
01021,2024,2811,2811,2.0,7.0,9
01022,2024,2013,2013,0.0,21.0,21
01023,2024,2047,2047,0.0,1.0,1
01024,2024,2318,2318,3.0,25.0,28
01025,2024,1874,1874,1.0,30.0,31
01026,2024,2157,2157,0.0,10.0,10
01027,2024,3195,3195,6.0,11.0,17
01028,2024,2520,2520,0.0,7.0,7
01029,2024,1570,1570,0.0,11.0,11
01030,2024,2537,2537,2.0,8.0,10
01031,2024,1667,1667,19.0,12.0,31
01032,2024,2789,2789,7.0,16.0,23
01033,2024,2576,2576,132.0,74.0,206
01034,2024,2005,2005,42.0,51.0,93
01036,2024,2073,2073,1.0,22.0,23
01037,2024,1545,1545,0.0,3.0,3
01038,2024,1621,1621,0.0,8.0,8
01040,2024,2518,2518,0.0,2.0,2
01041,2024,1665,1665,0.0,10.0,10
01042,2024,2643,2643,0.0,3.0,3
01043,2024,3428,3428,12.0,40.0,52
01044,2024,4062,4062,1.0,6.0,7
01045,2024,3487,3487,0.0,1.0,1
01046,2024,2534,2534,0.0,4.0,4
01047,2024,2953,2953,0.0,10.0,10
01049,2024,2900,2900,4.0,22.0,26
01050,2024,1950,1950,0.0,6.0,6
01051,2024,1140,1140,0.0,3.0,3
01052,2024,2744,2744,0.0,1.0,1
01053,2024,2083,2083,415.0,106.0,521
01054,2024,2777,2777,0.0,16.0,16
01056,2024,1364,1364,0.0,5.0,5
01057,2024,2048,2048,0.0,6.0,6
01058,2024,1976,1976,1.0,13.0,14
01060,2024,1196,1196,0.0,10.0,10
01061,2024,1970,1970,1.0,5.0,6
01062,2024,3084,3084,0.0,9.0,9
01063,2024,2354,2354,0.0,4.0,4
01064,2024,2257,2257,0.0,15.0,15
01065,2024,2311,2311,2.0,11.0,13
01066,2024,1555,1555,0.0,1.0,1
01067,2024,1317,1317,0.0,1.0,1
01068,2024,1286,1286,0.0,6.0,6
01069,2024,2650,2650,4.0,6.0,10
01071,2024,5160,5160,21.0,27.0,48
01072,2024,2721,2721,2.0,22.0,24
01073,2024,2129,2129,0.0,16.0,16
01074,2024,2269,2269,8.0,19.0,27
01075,2024,3212,3212,1.0,9.0,10
01076,2024,1395,1395,0.0,2.0,2
01077,2024,1884,1884,0.0,4.0,4
01078,2024,4001,4001,4.0,9.0,13
01079,2024,1877,1877,0.0,7.0,7
01080,2024,1594,1594,0.0,5.0,5
01081,2024,1792,1792,0.0,5.0,5
01082,2024,3016,3016,1.0,6.0,7
01083,2024,2471,2471,0.0,7.0,7
01084,2024,2386,2386,0.0,10.0,10
01085,2024,2361,2361,0.0,4.0,4
01087,2024,2106,2106,0.0,5.0,5
01088,2024,3206,3206,1.0,5.0,6
01089,2024,2308,2308,2.0,21.0,23
01090,2024,2469,2469,0.0,4.0,4
01092,2024,2753,2753,1.0,22.0,23
01093,2024,2713,2713,25.0,24.0,49
01094,2024,1644,1644,0.0,9.0,9
01095,2024,1653,1653,0.0,5.0,5
01096,2024,2350,2350,0.0,5.0,5
01098,2024,2015,2015,2.0,11.0,13
01099,2024,2444,2444,0.0,12.0,12
01101,2024,667,667,0.0,1.0,1
01102,2024,2253,2253,0.0,3.0,3
